type,floor_gw,energy_gwh,power_gw,cost_billion_usd,max_duration_h
wind_only,15,251.70593750000006,9.5427125,39.66443312500001,66
wind_only,20,759.8840025,14.5427125,116.891142875,113
wind_only,25,2358.0597775,19.5427125,357.617509125,255
wind_only,30,5037.085254999998,24.5427125,760.4713307499998,429
wind_only,35,7806.842612500001,29.5427125,1176.9349343750002,548
wind_only,40,20156.142559999986,34.5427125,3030.3299264999973,1130
combined,20,129.7015975,11.287522500000001,21.712744124999997,18
combined,25,215.19239000000002,16.2875225,35.53636300000001,20
combined,30,521.4395400000001,21.2875225,82.47343550000001,44
combined,35,956.5371625,26.2875225,148.738078875,74
combined,40,1452.5954275000001,31.2875225,224.14681862500004,99
combined,45,2490.1258625,36.2875225,380.77638387499996,126
