country,correlation,n_hours,wind_mean_gw,solar_mean_gw
FI,-0.28128581301001593,17545,1.9083137968082073,0.11719523824451411
SE,-0.24144602522769992,26711,4.089043666654187,0.14917144734379095
DE,-0.19140794452898138,87672,13.044637400452826,5.188111155072315
LV,-0.1885793237143943,8785,0.031098859419464994,0.045279549231644844
CZ,-0.17205553712048988,87634,0.0716166081657804,0.279799005580026
PT,-0.15906754518050253,87672,1.4401390808924173,0.20856987749794687
ES,-0.1421557228298341,87649,6.102858955607024,2.6110737783659825
HU,-0.14090612295724123,46249,0.07216588785703475,0.37508451512465135
LU,-0.13992971450366454,87672,0.032874094950497305,0.019027700691212703
PL,-0.1394970472345053,41449,2.152024769011315,1.1155502756821638
RO,-0.1381116659952034,87509,0.7685225634030023,0.16133675021045457
GB,-0.13517703640969478,86378,5.192126189324829,1.2133065478478318
NO,-0.13286428883930826,5737,1.5134915164720237,0.0004034477950148161
BE,-0.11049561617358357,87672,1.0111862572177093,0.5339307710129803
BG,-0.10834556966320444,87669,0.15710890873626937,0.21731696962438263
CH,-0.1028012613369048,13127,0.007002028643254362,0.028126007465529065
FR,-0.0730397600905951,87652,3.7178662778944007,1.528804499241318
SI,-0.06796476326552746,87652,0.0005663040204444849,0.034343620453612014
HR,-0.06651309553966517,52608,0.2414271112758516,0.012895797217153284
AT,-0.056397214574666545,87672,0.8022684729731271,0.1792824589378593
DK,-0.05585098435784397,87668,1.8364728436829858,0.17937025402655474
IT,-0.05204499290747805,87622,2.1820993814338863,2.3713362511697973
SK,-0.04889915474801619,87144,0.00028010534288074913,0.05895591090608647
EE,-0.03435261000705791,87394,0.08561144701009223,0.031376397693205486
LT,0.025668178432649617,86719,0.17586536765299413,0.03383378325395819
GR,0.04343294579289133,87601,0.7807417837695916,0.6032369501489709
NL,0.0755496603075566,87672,1.143741257479583,0.02544104479480336
