,min,p5,mean,cv,max
AT,4.0,15.0,820.1230734102066,0.9517929410079241,3079.0
BE,5.0,38.0,1243.2990067359287,0.944759594976594,4536.0
BG,0.0,8.0,160.090078776116,0.9205490696430498,606.0
CH,0.0,2.0,17.164630665601095,0.8420369269251675,67.0
CZ,1.0,7.0,73.20847128667656,0.8406550803092759,283.0
DE,236.0,2158.5,14303.558653955932,0.7645067304258055,48272.0
EE,2.0,11.0,78.13209270464665,0.8225637070853319,297.0
ES,347.0,1783.8000000000002,6715.471457928988,0.5531617112426175,19941.0
FR,596.0,1052.0,4212.933725311109,0.7490779929834296,15577.0
GR,19.0,145.0,1072.5976709670053,0.692980032168094,2855.0
HR,0.0,9.0,262.6477908437036,0.852228885992973,883.0
HU,0.0,0.5,66.74908665372759,1.0373614696317075,305.75
IE,6.5,97.375,1407.3010129675304,0.6749418258640385,3571.5
LT,0.0,6.0,168.2482018495262,0.8842823284468441,576.0
LU,0.0,0.25,35.150017125242606,0.9610807465196894,140.5
LV,0.0,0.0,19.600525174106632,1.0848897057438898,109.0
NL,6.75,146.47500000000002,1682.5783479849297,0.7880561633444285,4742.5
NO,0.0,455.0,1691.5549720287704,0.5117709406500424,4212.0
PL,15.0,231.0,2143.023061993378,0.7954087299052974,7185.0
PT,2.0,172.90000000000003,1476.6139970316246,0.7396953531428908,4730.0
RO,0.0,41.0,789.4048312212201,0.8703872902756525,2751.25
RS,0.0,0.0,73.21246717661833,1.3748972084065036,384.0
SE,152.0,759.0,3740.114510788903,0.5911219154702901,12061.0
SK,0.0,0.0,0.33377097842219433,1.7076592389856573,3.0
UK_gridwatch,0.0,1035.475,7042.762853923739,0.6015089578109005,16826.916666666668
