year,baseload_min,baseload_p1,ci_low,ci_high,n_hours
2015,6.739739999999999,10.517680900000002,9.581393203125,11.877317024999998,8760
2016,5.4572875000000005,10.026879450000001,8.85531174375,11.836025009374996,8784
2017,8.199455,12.844770425,11.221383568750001,14.598569818749997,8760
2018,7.0608,11.389441925,10.185330150000002,12.906649668749996,8760
2019,8.375155000000001,14.336412174999998,12.7374115625,17.89374299375,8760
2020,8.798802499999999,13.912828825000002,12.861465937499998,15.633286128124997,8784
2021,7.712650000000001,14.694124195,13.6113725,16.12669043,8760
2022,10.243685,17.078623450000002,15.534761443125,19.486599952499997,8760
2023,9.905365500000002,18.335996114999997,16.837679987500003,20.137147828125,8760
2024,9.994708499999998,17.76441428,15.961374411875001,20.6638449875,8783
