n_nodes,n_edges,density,avg_clustering,n_communities,modularity,top_betweenness,max_betweenness,year,countries
27,76,0.21652421652421652,0.3158812888656883,8,0.354520024053233,CZ,0.15384615384615385,2015,27
27,78,0.2222222222222222,0.3120019544925776,6,0.387475222522018,IT,0.2,2016,27
27,64,0.18233618233618235,0.3178873503334309,8,0.41999392271386327,FR,0.12923076923076923,2017,27
27,74,0.21082621082621084,0.3297025021598819,7,0.34513168715103243,FR,0.18769230769230769,2018,27
28,70,0.18518518518518517,0.30493573143816083,6,0.4374386220872384,CZ,0.2849002849002849,2019,28
28,103,0.2724867724867725,0.3449702474886811,5,0.37829478602313293,CZ,0.4928774928774929,2020,28
28,84,0.2222222222222222,0.28508339739115723,6,0.40488736826369087,ES,0.23646723646723647,2021,28
29,99,0.2438423645320197,0.3017160346503674,6,0.33032338827752283,PL,0.37037037037037035,2022,29
29,99,0.2438423645320197,0.3114988452159792,4,0.3569203084396697,IT,0.3862433862433862,2023,29
29,104,0.2561576354679803,0.35108487753485335,4,0.3776818992250693,IT,0.2962962962962963,2024,29
